,sim,k,h,Z12,Zcom12,Z23,Zcom23,e1,e2,e3,m1,m2,m3,probstability
0,0.0,0.0006651271252363258,0.0031825976741185055,0.08484571837664813,0.017296463573149623,0.04214861230462123,0.015664856790875297,0.1308229521428623,0.0032513569548774032,0.048013621747573135,3.852035666716487e-06,3.763808832539453e-05,1.4881577527505559e-05,0.9431261420249939
1,1.0,0.01616257913102421,-0.05084571885937025,0.15713121500676358,0.14840715208447638,0.17800903373921997,0.1338525710458097,0.240530397484305,0.05335275148005713,0.21032138155189248,2.1537016234936004e-05,1.8249272134392746e-05,1.6711644641264502e-05,0.00043324436410330236
2,2.0,0.21846406485225153,0.006575096033919114,0.11232285007251068,0.18978306435054432,0.20424717948173848,0.14549707905087952,0.08971460402216765,0.21856298753362616,0.136986932234533,8.137841569740943e-06,1.3923788714469861e-05,1.6436836896923344e-05,0.011871760711073875
3,3.0,0.12609053104007964,0.08175566312189687,0.09281323973496547,0.09616324932288034,0.23763969929502482,0.12323724801788342,0.0404548515980712,0.15027578138366268,0.17860682866717728,8.176181061411828e-06,6.769890344800672e-06,1.4031307879267054e-05,0.002097545890137553
4,4.0,-0.13053688717016118,-0.04663347332441284,0.09472600198873471,0.061733281286570595,0.18090571764451713,0.1586127972806274,0.02153461559655368,0.13861659260843961,0.1764422915930706,1.532475178440198e-05,7.134931023361922e-06,1.411672340396267e-05,0.0002802339440677315
5,5.0,0.003063344466416681,0.08357767759471764,0.11710825018376048,0.16114941093985863,0.03544959798393123,0.07408343400861492,0.23497631456917137,0.08363379861901821,0.044296402431644684,1.3018208649318017e-05,1.4006877652053832e-05,1.2983486288240359e-05,0.029181161895394325
6,6.0,-0.08802831010871202,-0.08421014432020806,0.08603828761561508,0.14402126943843338,0.12031562398617297,0.035380916773356905,0.15000005823088425,0.12182090045236836,0.04950092965065732,2.609046366332079e-05,3.787521570863551e-06,1.1514121273562661e-05,0.11648491770029068
7,7.0,0.02060362453046798,0.0612669012920875,0.06530840431869746,0.1028768314111966,0.21916808956346742,0.20033703763045962,0.11984654692825805,0.06463855302934074,0.29877619433617125,4.500214915573197e-05,1.6492897458937397e-05,1.3040537190244025e-05,0.0009300258825533092
8,8.0,0.01829592616426071,0.14615971944423645,0.11050074546678111,0.028004938144285185,0.18071798104852177,0.03219097545488438,0.015707323238369916,0.14730038866963654,0.08715115705406676,3.2828648932739363e-05,4.421838255739173e-06,1.2006086770055782e-05,0.23284463584423065
9,9.0,-0.1321899493624815,0.0898983991885251,0.15984660725971683,0.08363558251141662,0.1029431552381846,0.116014494348433,0.10785667435643664,0.15986214338959312,0.07836129821887258,1.921063293485543e-05,1.2806150403718904e-05,1.953442050121303e-05,0.2029150128364563
10,10.0,0.07169420229365292,0.013152869470274432,0.10111515879217574,0.08043526914984922,0.20953535105961119,0.1349970753606807,0.1283919987006297,0.07289071695233423,0.2203775484478744,2.6600091354963964e-05,2.7443301532843045e-05,2.862416999720739e-05,0.0002610999217722565
11,11.0,0.15436574878556591,-0.050582809952159316,0.15465081917291001,0.06947610581243965,0.17909421062166908,0.0835663578054139,0.07726715870772125,0.16244200522274008,0.10741214753784756,1.7829299181970842e-05,1.2424882154461936e-05,1.7292418543384873e-05,0.10278616845607758
12,12.0,-0.00180920368308577,0.0023523610225727265,0.2249637368671259,0.1373722088641757,0.0828553845272548,0.02867705186119477,0.33586410736109296,0.002967628741505669,0.09257066805688163,1.0591365913162947e-05,1.8646053662417098e-05,7.5950102259624745e-06,0.18031933903694153
13,13.0,0.027573683464219383,-0.035330224916800955,0.21027529543883017,0.18541923021155637,0.2573619698306193,0.2951772583983247,0.3135854581496,0.044816657756427,0.29952331192812554,1.1743321427403934e-05,1.0243449831128548e-05,3.232488427844139e-05,0.0005582348676398396
14,14.0,-0.04179762824078131,0.02202655460263294,0.24448678952096073,0.19170030125377616,0.23015083984130413,0.30494749980089286,0.31350353452139046,0.047246278522412,0.29150553211948493,8.116104706125279e-06,4.95185560898271e-06,1.8082980835463797e-05,0.003299388336017728
15,15.0,-0.068124193296701,0.004560251009866924,0.06770104563474333,0.0030536028292270064,0.15232635780231235,0.02980978979039595,0.021656068298137116,0.06827665487997543,0.11872205387306228,4.040395952804763e-05,1.3258490278579104e-05,1.2997437315120232e-05,0.03262382000684738
16,16.0,-0.01183371439218688,-0.017861182101870852,0.020622166860092578,0.009527993524201665,0.18105636924374208,0.15542900932775439,0.01222864082530684,0.021425653371415363,0.22370568102714564,2.540829584384676e-05,1.060979097244923e-05,1.1793494227528047e-05,0.2993916869163513
17,17.0,-0.0830799935717007,0.1438349297838832,0.16080262750964974,0.13285149169312938,0.06434083007888203,0.16256771605901565,0.05086993705391206,0.16610470299726146,0.0926719364481647,1.0032581000961773e-05,3.291503337068083e-05,1.4129929364420626e-05,0.35698890686035156
18,18.0,-0.009978051986872337,-0.11464957566069257,0.11601279776721793,0.08356840918008301,0.1005735033145313,0.11821317552426358,0.09606722765966913,0.11508295582157071,0.11233682636472309,3.004673936395445e-05,4.6527435827823263e-05,8.22481520548338e-06,0.24694299697875977
19,19.0,0.09396469660750181,0.06729047211967638,0.17647793005019882,0.08805988336938737,0.25937449399126705,0.17303776139685315,0.1777782691492868,0.11557409678050184,0.2257350757624808,8.480699837540971e-06,9.476466420255654e-06,2.1844729557389984e-05,0.0003805068554356694
20,20.0,0.06609394777795526,-0.07054144447491055,0.2117629828686079,0.11298130206942102,0.18203759334051292,0.2438605925255524,0.2535570795770764,0.09666698154738237,0.26554499318615116,1.407722341100549e-05,1.7860645701550667e-05,2.9770127229968675e-05,0.0031262673437595367
21,21.0,0.022495600681287448,0.006651874584796516,0.0118948953835028,0.02120802526898899,0.20603736857037713,0.14589024612240584,0.01876131594023324,0.023458462982552844,0.2338316886614244,1.4808918725667879e-05,1.3258592148172034e-05,1.3903059565005091e-05,0.028738506138324738
22,22.0,0.010429584489498604,-0.08798071406214705,0.07108348870780896,0.072035034487446,0.22817070569796022,0.0681199859876207,0.015712760376531968,0.08859673966636057,0.21080234872307957,1.246479050455778e-05,3.309400878851571e-05,1.6103231936400903e-05,0.0016174251213669777
23,23.0,-0.0943339884081711,0.0643872251608088,0.10810795081533336,0.03635616122098649,0.1249209617829121,0.10562365970773513,0.04105289731065252,0.11421302961090582,0.12127078792313163,2.834820788360915e-05,1.6811188481216032e-05,7.930059932745472e-06,0.48935914039611816
24,24.0,-0.006928623059550922,-0.10669551517153918,0.08477563612450689,0.11422328913189153,0.10794368364599044,0.11018491258665054,0.13382282968555573,0.1069202449268682,0.12227741015244432,1.0836096710561272e-05,9.622825742700249e-06,7.232325485879678e-06,0.5826605558395386
25,25.0,-0.0018396812148253998,0.019196425547788633,0.06199426733495137,0.01998091739577692,0.24032203259425441,0.10007187315204652,0.07386829544148914,0.019284376598271813,0.2725464050838574,8.965531179793955e-06,1.5963789742545542e-05,7.1620864577459445e-06,0.0015470513608306646
26,26.0,0.05539815626262744,0.1366492716591539,0.08099097750285987,0.10889218906590405,0.1765700109601754,0.29025387825087684,0.05901371009307285,0.14745161634338136,0.24059445609661537,1.532952210509947e-05,1.471331772986172e-05,0.00010947071355186928,0.0007422817870974541
27,27.0,0.0025288892563289506,0.008896653060051789,0.06452987136671497,0.06870792428830293,0.1199086965796099,0.10061125360363025,0.10557869675943905,0.00924909274154524,0.12999027859138537,1.1628808120870492e-05,8.387896308420324e-06,1.542250847764621e-05,0.0848178118467331
28,28.0,0.10739325860524436,0.0452492201615039,0.14035792221895643,0.12367534368972688,0.1846119173659846,0.18261139954764302,0.17327062181291725,0.11653670631640978,0.23320860976261365,1.1208227679877898e-05,8.174978109701118e-06,8.191167406561222e-06,0.07642912119626999
29,29.0,-0.08204396835758057,0.1218135342594446,0.10689866139566304,0.11275897517211537,0.2706332392524714,0.09189710998404522,0.11271627338541629,0.14686643548692999,0.1980303692660918,1.6532634538749917e-05,9.563674547583424e-06,1.4708250560401236e-05,0.005830453708767891
30,30.0,0.017984148358960554,0.009781239476204764,0.2479096983655903,0.14412953546666601,0.16462088935588154,0.05095514654619378,0.35037355709591217,0.02047198666197226,0.17732875799535408,1.5282196898687595e-05,2.3643300156545232e-05,9.615588549339686e-06,0.07485554367303848
31,31.0,-0.0022733389949981865,0.010329353004336003,0.16663899505266552,0.1888456277453244,0.03384706042803178,0.02356743022528867,0.25454894756493984,0.010576559160443654,0.030227642846869473,1.2017199167230324e-05,5.197811290497796e-06,1.3262204349312489e-05,0.08980847150087357
32,32.0,-0.02406890494655067,-0.03882239897399781,0.07585393481941277,0.11377900830240828,0.1946496754012923,0.2232674387732088,0.15663695504700675,0.04567812219676239,0.2582690241194049,1.4288219704586236e-05,1.086742825971774e-05,1.8551489561882992e-05,0.0003231929731555283
33,33.0,0.19641712050947235,-0.11614664618683566,0.20595851500862178,0.18376890891294403,0.19110408645462074,0.12799863185525173,0.07994328904773071,0.22818792397864215,0.08274154217457888,4.986124884186981e-06,1.4216331141832858e-05,1.6751489442468992e-05,0.520091712474823
34,34.0,0.0029924929988161264,0.001742656603675389,0.17444335385704451,0.19816699146273295,0.006901452100630759,0.007514565195397727,0.2568915978692485,0.003462927430122811,0.007035180767636271,1.3515616183722382e-05,4.756020716813628e-06,2.4148323508946167e-05,0.017867423593997955
35,35.0,-0.008983184267213553,-0.058915571203741704,0.09173051489703951,0.10438894531470284,0.018158698446965674,0.05227796869505477,0.15232290102839458,0.05959649427476311,0.032464988207918356,1.2403339194538191e-05,1.057189742767587e-05,1.5565825324893708e-05,0.31080353260040283
