,sim,k,h,Z12,Zcom12,Z23,Zcom23,e1,e2,e3,m1,m2,m3,probstability
0,0.0,-0.01864713824252369,-0.041452193859370566,0.06394780858551977,0.01918130600463935,0.04257249237281731,0.0536024064508526,0.051261510630840106,0.045453274253794175,0.048927050015700975,4.275864636444294e-06,3.6875464208297358e-06,3.126712088381256e-05,0.00039801307138986886
1,1.0,0.01747182775899549,-0.012455414801691194,0.08526697576198543,0.0559646327835016,0.05983458822509084,0.08206119926546804,0.11944607474241169,0.021456983085284695,0.09109307963037264,4.936842158703399e-06,6.123844549792413e-06,1.6492243770818473e-05,0.0005514459335245192
2,2.0,-0.007251524705473654,0.016780047621119704,0.07845085405254891,0.0668930931127784,0.1077921082914816,0.07824218142215447,0.13594468694738815,0.018279896299518216,0.14987206798307204,4.577552299479259e-06,7.707337327678161e-06,5.490208070530635e-06,0.0
3,3.0,-0.009497409401968344,0.009871743372732781,0.07518222260202237,0.01391544925444571,0.03269697319329088,0.043129770561662964,0.10117759381254567,0.013698616812134363,0.04365217648421864,1.3509928183725194e-07,9.019214041210985e-06,4.335158296992462e-05,0.0
4,4.0,-0.05599939254326318,0.048500490701547355,0.02100816311450562,0.08967315894105489,0.03326421404678618,0.06472361172591276,0.09090268522581674,0.07408258610162959,0.040995061060954394,2.1090337803216554e-05,2.9012873215904677e-06,1.81237818206549e-06,0.04409204050898552
5,5.0,0.05822342803843687,0.06767490044310669,0.09780518157823422,0.04379271613467257,0.0573551436785066,0.0814421889907572,0.06895945044429878,0.08927407082984083,0.07563698295166033,1.19564150631512e-05,5.319498362646787e-06,9.584383923907348e-06,0.0
6,6.0,-0.04703390198927539,0.008350021846535449,0.032868687513626586,0.035488890129035104,0.027632903207952756,0.0674457802605409,0.005404341706513847,0.04776935001833689,0.06532212832296803,3.7357571153579115e-06,7.4222431229514435e-06,1.7342879102387068e-05,0.06032438203692436
7,7.0,-0.0074799110936461756,0.05799271472381539,0.03219788971783244,0.03372402853046981,0.08425671949901135,0.01982450552093803,0.026462528564526265,0.0584731051938127,0.05694118079061878,1.7717830676548034e-05,6.430207966905372e-06,1.2146618901851294e-05,0.00026400011847727
8,8.0,-0.0035493388640411515,0.010813426512890446,0.10459702338498097,0.09530794742592286,0.131624748241416,0.11843856150088507,0.14431416528830127,0.011381036829809267,0.16351265548792537,1.5097182172286626e-05,8.048399217486817e-06,1.4769099402206728e-05,0.0
9,9.0,0.05431057730189471,-0.024153916646685335,0.0589731093348487,0.02724535863663431,0.12874775344399492,0.11097678661652731,0.032565848220470976,0.05943946917865354,0.11254330724513045,7.354567321339516e-06,7.885982583102351e-07,6.490405718708715e-06,0.00014652570826001465
10,10.0,-0.011870110035461304,0.11470485966717986,0.07539284832532453,0.035685025243836065,0.12729134791106952,0.043767321626988424,0.025886780998604447,0.11531740694067563,0.06400234939881634,8.94572226174686e-06,1.4502891453697619e-06,7.953846832219008e-06,0.0
11,11.0,0.012009599019334122,-0.011375291152072895,0.07833475786350473,0.003316851751106521,0.0932121849694719,0.04158146765384518,0.0989560472968093,0.016541696327753663,0.10407383208008335,8.562135043425895e-07,6.455624132278458e-06,5.3512792409002275e-06,0.00014899965026415884
