,sim,k,h,Z12,Zcom12,Z23,Zcom23,e1,e2,e3,m1,m2,m3,probstability
0,0.0,-0.0006510289776310709,-0.07219111621200733,0.02117401905391004,0.08399616402081303,0.0872940985567179,0.028376908714483604,0.09019228562260548,0.07219405168478399,0.051837550249463064,3.965897779300303e-06,5.22247920585109e-06,1.5981101717976725e-05,0.0025315762031823397
1,1.0,0.0413987415428645,0.0031098169260672013,0.09233355991197327,0.12130111664120624,0.05093623170019427,0.11369205102203901,0.12475703408196831,0.04151537983261804,0.09607318415986525,1.0315173598458429e-05,3.4974300084944597e-07,1.285686737974177e-05,0.0
2,2.0,0.024182731565990486,0.020592798602935652,0.03255565450983318,0.02822667783675833,0.04023841271868174,0.07481556496723084,0.013372179409509168,0.03176268030714381,0.07716099145013026,8.65881875615263e-07,5.6092997839579735e-06,1.5642488545725088e-05,0.004325419198721647
3,3.0,-0.08775227049372705,-0.05895523261616053,0.10642444336973272,0.038032566854355895,0.11893597551244442,0.03245225678039065,0.042377426525972255,0.10571745565245996,0.06392583618548443,1.4016669091637262e-05,1.552394283317456e-05,1.653492361599743e-05,0.0
4,4.0,-0.03108527033173386,0.060467075730246275,0.06490414272473859,0.037149938611800416,0.044110114851602863,0.04587673630911846,0.027647144915087858,0.06798942034584728,0.002867821361319669,8.525739525037684e-06,1.3556890727546493e-05,9.684523091018113e-06,4.571472800307674e-06
5,5.0,0.002404074603014106,-0.015093200650491802,0.04467631931865149,0.03731753082174363,0.10017843699614343,0.04947115207378433,0.08358880945136889,0.015283464285719504,0.11464604672717976,6.859024401783888e-06,1.8012332422958904e-05,1.545840695762955e-05,0.0
6,6.0,-0.029555997659317657,-0.0009146467877668865,0.052674951845600095,0.029256494026091748,0.016128357164354408,0.02650580791247461,0.06274523129260313,0.029570146708867765,0.023142933306898206,4.489238127731918e-06,6.1159620990290035e-06,1.5683289344990552e-05,0.6725912690162659
7,7.0,0.019868314908168316,-0.056161866230973856,0.033417158860898424,0.039693674743155584,0.06589219758696162,0.01956008057226146,0.036995487150146604,0.05957268800243905,0.03672404704582944,1.2641309663783144e-05,3.491619626828798e-06,9.310244948590657e-06,0.018013864755630493
8,8.0,-0.026666611317388764,-0.004259355428663989,0.03119455299364083,0.06575800475312454,0.09960915609652328,0.13872528858896407,0.0712011817641904,0.02700463419156749,0.14868674899088116,9.275634698756316e-06,1.5185488211090897e-06,4.927839187440551e-06,0.0006887757917866111
9,9.0,0.0028370353323457485,0.01693505891813634,0.06103897274519906,0.07253222816371767,0.11776374985012592,0.16934869270435424,0.07660564780592727,0.017171050929914784,0.14493736001403523,8.797039256328083e-06,4.877951995198624e-07,1.6755461755442437e-05,0.0005400378722697496
10,10.0,-0.06533196386053902,0.032079601270488256,0.048276515740370646,0.017696125901916836,0.09808609716308513,0.08435549464052135,0.009998032385632434,0.07278300845354146,0.08105400378987411,2.7445576148488127e-06,3.9727229083472424e-07,4.1725270241853385e-06,0.003607352962717414
11,11.0,-0.0446737750799916,-0.044690126873663055,0.0785795177156881,0.02314902230962467,0.07565779015150459,0.07945070254498225,0.047227787834993706,0.06318982212256796,0.09578792845463464,6.087146984221724e-06,1.0257443799493164e-05,1.6923535020988017e-05,0.0
