,sim,k,h,Z12,Zcom12,Z23,Zcom23,e1,e2,e3,m1,m2,m3,probstability
0,0.0,0.09182961802365826,0.11658976932968923,0.1115454400644335,0.02806992473909422,0.10218924685328035,0.027815301688765833,0.0015339602275251825,0.14841109479658562,0.01293005811604967,5.2153363168052716e-06,1.2316445103280056e-06,7.830226550507273e-06,0.0
1,1.0,0.004439283474138297,-0.002663680419709481,0.004780588817611469,0.01039234799740706,0.006700633742930258,0.004211440530890708,0.012447729811772593,0.00517710644492665,0.006215475241853486,7.1240636771461915e-06,3.5103712255338976e-06,4.990044483618781e-06,0.9626421332359314
2,2.0,0.06477418692630177,0.00133351928627141,0.04743477442111817,0.014234915075543348,0.04207177787836153,0.02070212594914707,0.002157200061583662,0.06478791218777111,0.0031059116372243816,1.2239131633525316e-05,3.0418268031369684e-06,9.935567340975959e-06,0.030988555401563644
3,3.0,0.0012168840991981554,0.003180432579410255,0.00396497428671591,0.004239734156882525,0.003718050987980073,0.0019889709959164743,0.00448315036681825,0.0034052838799511964,0.0019036186621985856,4.768600557106729e-06,3.18866692564068e-07,6.47219297330588e-06,0.9688950181007385
4,4.0,0.03911191173395163,-0.0001430187592828237,0.03177937914955977,0.02050825171917167,0.021701689825462365,0.022528766135580344,0.0037565366621349875,0.03911217321819295,0.007462010512213979,4.860170258756801e-06,5.85650031044189e-06,8.967747012273591e-06,0.8903659582138062
5,5.0,-0.011117538337686184,-0.0017738037597899872,0.010559675824570607,0.0023075576834419033,0.011890223238350772,0.01061389880950053,0.004120297936139372,0.01125815431001757,0.011522252672332664,6.8534833690876525e-06,2.0489363941775577e-06,6.576210347559437e-06,0.9120532274246216
6,6.0,0.013667483684812513,-0.022641119539162015,0.018427174944183826,0.018914879667307937,0.012004208539505281,0.02196789073871356,0.0026445608737490005,0.0264465575124862,0.014996274277240962,4.258188461415178e-06,7.719888919252444e-06,7.5921738863996685e-06,0.8694286942481995
7,7.0,-0.0231135100715531,-0.04097048137214108,0.03725851815220977,0.008278989729905614,0.031765527951263924,0.001442362282073177,0.0083291873859708,0.04704056432158043,0.0011661821175031816,5.502177067050912e-06,1.3530663395237131e-08,7.804912009201609e-06,0.9794658422470093
8,8.0,0.01977871221509846,-0.016111937465674065,0.06845157904845614,0.0291482640923841,0.01639842531739343,0.01629846243515498,0.07462989871842701,0.025510624958739774,0.009145623124165994,3.931892455504575e-06,3.6741926101775796e-06,4.206964974024065e-06,0.0007661077543161809
9,9.0,-0.0006446736780720803,0.003335722479162577,0.03653596224608453,0.039004016502846954,0.0042884259192917315,0.0011159121564845588,0.05345581687604855,0.003397447366654782,0.0027140173838063387,6.610545236514324e-06,2.761821207761902e-06,5.1417763839180965e-06,0.059271518141031265
10,10.0,0.0006301280858334924,-0.0014319627943460763,0.08891913633701555,0.07899197606744003,0.04284886078899873,0.053048420429322056,0.1314990092448113,0.0015644739847461844,0.05524992485737355,3.0776829463486654e-06,2.3380711260470656e-06,1.0700506646077332e-05,0.0018768509617075324
11,11.0,-0.0012896507388083067,-0.0003590036956316962,0.001307152724183947,0.0013343251118565008,0.03171017956651156,0.025846413914615608,0.0018159089510934377,0.001338686924409896,0.0398318923880842,3.892631737663456e-06,5.146014233492915e-06,7.301349476519606e-06,0.016293365508317947
12,12.0,-0.013483476913127526,0.0009867593778573665,0.008973567497652187,0.01250352173532919,0.014479388428506601,0.0076525448331027975,0.010116548175695426,0.013519535633172925,0.006986116893219361,1.3431210491083663e-06,3.878347356291417e-06,1.9842279000906164e-06,0.9889857769012451
13,13.0,-0.00021659419511323218,0.0015612337214588167,0.0018381663515352321,0.0009201790420452437,0.009859731475968135,0.00891081569993428,0.0012589941257463,0.0015761864668803927,0.013024156126909726,6.347811648862513e-06,1.292602205000123e-06,1.8594898737895562e-06,0.9398354887962341
14,14.0,-0.018398168515639583,0.020767390877948235,0.07106419084099552,0.016137575376505234,0.017397790354865827,0.01419174162531629,0.07556946955570058,0.027744857696650006,0.005814285817695232,7.362879795017958e-07,5.185980360423746e-06,9.00075997705628e-06,0.8179130554199219
15,15.0,-0.001768764454350316,-0.0026017491471757607,0.003522965004768658,0.0010196882965271652,0.015924559702537554,0.011923545384172451,0.0017606313812211672,0.0031460493193532376,0.019515030715912176,4.085388772506991e-06,5.2456678106497974e-06,6.662203498267939e-06,0.05055369436740875
16,16.0,-0.03843875391552343,-0.0032608662355076428,0.03328749739334196,0.0023987610347754,0.05953443949357075,0.036138108150925205,0.006750494305269962,0.03857682012794784,0.04687123403318796,5.898364880829676e-06,1.4366371915972305e-06,5.4575117618987185e-06,0.01653631031513214
17,17.0,-0.011464182015245772,-0.0010511765925126013,0.010367151178969506,0.006170900538160365,0.046125834904339545,0.031024926586623522,0.007296528909077221,0.011512273516005906,0.04960503885918691,4.4084821338632525e-06,2.785248984803422e-06,4.78346431479448e-06,0.10262355953454971
18,18.0,-0.0012697009230744339,0.001890914582749914,0.0014720289824214827,0.0018753424553448381,0.0022619636114557693,0.0015919204983941783,0.0012415737706254323,0.0022776519473599014,0.001157812207205072,4.992650755653485e-06,9.593915510094312e-06,3.7602523638076158e-06,0.9675953984260559
19,19.0,-0.022972992370382656,0.01573077272366705,0.047963752331490236,0.07089993373220875,0.01942180568778789,0.006752961568499026,0.08112964284003185,0.027842693636452042,0.0012581024972481791,9.923116907963275e-06,2.1415529846315504e-06,7.928270604522425e-06,0.01899273507297039
20,20.0,-0.0019178454995809908,0.0006100124851295913,0.02168280886130444,0.02162454838226671,0.013400862663719981,0.007674943060935526,0.03027978010066305,0.002012522445161057,0.01568456412193287,6.04121236792922e-06,2.5422154373105413e-06,2.471502796315578e-06,0.9557589888572693
21,21.0,-0.005612953519596759,-0.014591606552474237,0.005660255985960005,0.014525559682411218,0.010130266514217213,0.009827840472126622,0.01356928637791991,0.015633944767567867,0.00470910107666979,6.352688069986937e-06,3.97620311427832e-06,4.238975972008451e-06,0.7452895641326904
22,22.0,-0.001653192794276051,-0.012084863473714139,0.007087970678950636,0.007575598805990643,0.016775904104816778,0.005345571908842824,0.004626020249940782,0.012197416595056364,0.011318899477292945,4.347441587755013e-06,3.0461280377532167e-06,6.828129953351533e-06,0.3251000940799713
23,23.0,0.04245682330989305,-0.012731883395472798,0.037913438060343696,0.03205179208344547,0.04570140187056909,0.03293949683278574,0.02254680806909203,0.04432474140210402,0.0385781017396908,6.030328846067919e-06,1.2546989989488109e-05,7.184324817897043e-06,0.0037776255048811436
24,24.0,-0.001082514517730293,0.0038503064714323207,0.003104991020075521,0.0014730378419542769,0.004175360017863824,0.008277245488880834,0.0014301803420604063,0.003999587179328694,0.008495689951054403,1.1231445636629865e-05,3.231222045187855e-06,8.363635294682403e-06,0.9819369912147522
25,25.0,0.0303626005535918,0.060194336744282394,0.055985498475953015,0.035301620424926974,0.04484399859313887,0.032724383094356935,0.02109077659180753,0.06741843730361183,0.014044951948828582,2.1871262934673083e-06,2.3889837866460534e-06,4.110313282770194e-06,0.6639094948768616
